feature,label
artist1655,Blame Game
artist1657,The Cross Movement
artist1651,The Game
artist1650,The B.U.M.S.
artist1652,October Game
artist1659,Tha GUTTA! Dream
artist1658,The-Dream
artist109,Almighty
artist103,Ali Vegas
artist101,Ali & Gipp
artist100,Ali
artist107,Alley Life
artist106,All City
artist105,Tha Liks
artist104,Tha Alkaholiks
artist75,Adam F
artist76,Adeem
artist77,A.D.O.R.
artist70,Above the Law
artist71,Ace Hood
artist72,Action Bronson
artist73,Aceyalone
artist219,Miri Ben-Ari
artist218,Belly
artist217,Bekay
artist216,Beelow
artist214,Beatnuts
artist213,The Beatnuts
artist212,Beastie Boys
artist210,Beast 1333
location248,"Lynchburg, VA, US"
location249,New York
location242,"Long Island, NY, US"
location243,"San Francisco Bay Area, CA, US"
location240,"Marysville, CA, US"
location241,"Colorado, US"
location246,"Valencia, Valencia, ES"
location247,"Albuquerque, NM, US"
location244,"Pittsburg, KS, US"
location245,"Petersburg, VA, US"
location18,"Houston, TX, US"
location19,"South Jamaica, New York, NY, US"
location10,"Queens, New York, NY, US"
location11,"Oakland, CA, US"
location12,"Harlem, NY"
location13,"Galveston, TX, US"
location14,"Tokyo, Tokyo Prefecture, JP"
location15,"Fort Lauderdale, FL, US"
location16,"Toronto, Ontario, CA"
location17,"Owensboro, KY, US"
artist558,Da Headbussaz
artist559,Da Hol 9
artist929,Big Jaz
artist928,Jayo Felony
artist925,Jay Rock
artist927,Jaylib
artist920,Jadakiss
artist923,J Dilla
artist922,Jake One
artist554,Da Beatminerz
artist1368,Mr. Sancho
artist550,Da Impact
artist807,Eve
artist804,Esham
artist89,Mustafa Akbar
location112,Houston Texas
location113,"Queensbridge, New York, NY, US"
location110,"Meridian, MS, US"
location111,"Harlem, New York, NY, US"
location116,"Beaumont, TX, US"
location117,"Kansas City, MO"
location114,"Detroit, MI, US"
location115,"Saint John, New Brunswick, CA"
location118,"Texas, US"
location119,Texas
artist1339,Spragga Benz
artist1335,Sean Paul
artist1332,Beenie Man
artist1333,Buju Banton
artist1330,Wayne Wonder
artist1331,Elephant Man
artist587,Daz Dillinger
artist586,The Dayton Family
artist585,David Wade
artist584,David Mars
artist851,Gangsta Boo
artist582,Das EFX
artist581,Darkside of the Force
artist852,George Clinton
artist858,Ghostface Killah
artist588,Daz
feature,Daz
artist1480,Pusha T
artist1482,Q-Tip
artist1483,Queen Latifah
artist1484,Quasimoto
artist1485,Queen Pen
artist1486,Remy Ma
artist1488,Raekwon
artist1240,Jody Watley
artist1247,John Legend
artist1244,Blackstreet
artist1245,Sparkle
artist1249,Cher Lloyd
artist459,Clipse
artist458,Clika One
artist451,Chuck D
artist450,Chubb Rock
artist452,Ciara
artist455,Circle of Tyrants
artist454,Cilvaringz
artist457,The Click
artist456,Classified
artist45,R S Thomas
artist44,James R. Hall
artist46,A+R
artist41,Jay R. Powell
artist43,Animal R&R
artist1066,Skillz
artist735,Julius Drake
artist737,Lil' Wayne/Drake
artist1062,Masta Killa
artist731,Drake DeVille
artist732,Drake
artist1061,Lyrics Born
artist738,Drake Murphy
artist739,Drapht
artist1068,Mac Dre
artist1069,Mac Miller
artist1660,Theodore Unit
artist1661,Three 6 Mafia
artist1664,TLC
artist1665,Tony Touch
artist1666,Tony Yayo
artist1667,Badwayz
artist1468,Prophet Posse
artist1469,Prozak
artist1462,Professor X
artist1463,Project: Deadman
artist1460,Princess Superstar
artist1461,The Procussions
artist1466,Proof
artist1467,Proper dos
artist1464,Project Pat
artist1465,Promise
artist119,Amil
artist114,AMB
artist115,The Ambassador
artist116,AMbassador
artist117,AMG
artist111,A.L.T.
artist112,A.L.T. & The Lost Civilization
artist113,American Cream Team
artist200,Bad Azz
artist201,Bad Meets Evil
artist202,Erykah Badu
artist204,Bangs
artist205,Ant Banks
artist206,Basshunter
artist208,Body Count
artist209,Beanie Sigel
location239,"Columbia, SC, US"
location237,"Newark, NJ"
location236,"Montclair, NJ, US"
location235,"San Juan, San Juan, PR"
location234,"Decatur, GA, US"
location233,"Crenshaw, Los Angeles, CA, US"
location232,"Lafayette, LA, US"
location231,"Flatbush, New York, NY, US"
location230,"Cincinnati, OH, US"
artist939,Rell
artist934,John Forté
artist935,Jay-Z
artist930,Jazzanova
artist931,Jedi Mind Tricks
location343,"Santa Barbara, CA, US"
location342,"Harlem, New York"
location341,"Mullumbimby, Australia"
location340,"Adelaide, South Australia, AU"
location346,"Yonkers, NY, US"
location345,"Jamaica, New York, NY, US"
location344,"Fayetteville, NC, US"
location349,"Akron, OH, US"
location348,"Watts, Los Angeles, CA, US"
location167,"Greenwood, MS, US"
