topic,feature,value
0,location494,0.0337030575592
0,artist1655,-0.0273013068402
0,artist1657,0.342776122097
0,artist1651,-0.172772902933
0,artist1650,0.0079247913156
0,artist1652,0.0180687373949
0,artist1659,0.02397546817
0,artist1658,0.0401608599351
0,artist109,-0.00409705373049
0,artist103,-0.0271482255815
0,artist101,0.0399506207453
0,artist100,0.0605829317664
0,artist107,0.0130992634421
0,artist106,-0.00597517881529
0,artist105,-0.0409456058599
0,artist104,0.119336327569
0,artist1566,-0.0406362963763
0,artist1565,0.100005221928
0,artist1564,0.00659116913588
0,artist1563,0.0326396346586
0,artist1562,-0.0229995869641
0,artist1561,-0.0111515028338
0,artist1560,-0.0435199870051
0,artist219,0.0298604906499
0,artist218,-0.0123361605565
0,artist217,0.00978890083011
0,artist216,-0.0675796029346
0,artist214,-0.0712109911261
0,artist213,-0.135569277719
0,artist212,0.309094779848
0,artist210,0.0362506901429
0,location248,0.0311879967073
0,location249,0.10162345616
0,location242,0.0298009089575
0,location243,-0.00946728297548
0,location240,0.011450195876
0,location241,-0.028134244178
0,location246,0.00256787377363
0,location247,-0.0209744223711
0,location244,-0.0112261733899
0,location245,-0.0377543556947
0,location18,-0.190619405196
0,location19,-0.0338498026549
0,location10,-0.0147501459515
0,location11,-0.0890807129227
0,location12,-0.0115096144293
0,location13,-0.0143267007382
0,location14,0.0590965453326
0,artist1363,0.0390832507776
0,location16,0.246836958667
0,location17,-0.0713712840511
0,artist1365,-0.0533559728945
0,artist1425,-0.0191061630034
0,artist1364,-0.0288973542065
0,artist929,-0.0320627665549
0,artist928,0.0124352619429
0,artist925,-0.0325286278017
0,artist927,-0.0197009205091
0,artist920,0.065899777589
0,artist923,-0.0485140395888
0,artist922,0.0714606941911
0,artist554,0.0142303178139
0,artist555,-0.124354564492
0,artist806,-0.00705243202486
0,artist551,0.0307872812854
0,artist552,-0.0231168270635
0,artist89,0.00575707546853
0,location112,-0.178544659132
0,location113,-0.203594263914
0,location110,0.0840938113629
0,location111,0.0407415550453
0,location116,0.0210018153304
0,location117,0.188262836848
0,location114,-0.0128267886728
0,location115,-0.00818248019075
0,location118,-0.314607719972
0,location119,-0.161363816055
0,artist1339,0.00751975564334
0,artist1335,-0.00771216114356
0,artist1332,-0.00207089378503
0,artist1333,-0.00842017522327
0,artist1330,-0.0289377624354
0,artist1331,-0.0558829355943
0,artist855,-0.0107285239885
0,artist854,0.00647262030269
0,artist857,0.0903655972607
0,artist584,0.00256787377363
0,artist583,0.0381062175182
0,artist582,0.0325217351909
0,artist581,-0.0112261733899
0,artist852,-0.0407611703696
0,artist858,0.409311765425
0,artist588,-0.0318338592647
0,artist1480,0.0756463730885
0,artist1482,-0.0359547372268
0,artist1483,-0.0371664553788
0,artist1484,0.0158975042167
0,artist1485,0.00929820840744
0,artist1486,-0.00470522403517
0,artist1488,-0.0229287901267
0,artist1240,-0.000159852941109
0,artist1247,0.000326546563725
0,artist1244,-0.0474117849421
0,artist1245,0.02388962187
0,artist1249,-0.0262350769058
0,artist459,0.018503005791
0,artist458,-0.0443152970696
0,artist451,0.104958993984
0,artist450,0.169173172583
0,artist452,0.0739607592436
0,artist455,0.0113339129673
0,artist454,-0.0525544849527
0,artist457,0.134502070959
0,artist456,0.352402135402
0,artist45,0.000982159624357
0,artist44,0.00594784000087
0,artist46,-0.0248550047003
0,artist41,0.00791257461033
0,artist43,0.00590029406845
0,artist1066,-0.0426595482105
0,artist735,-0.0167388302542
0,artist737,-0.0152405705034
0,artist1062,-0.0388419707245
0,artist731,0.0199993650833
0,artist732,-0.140882177447
0,artist1061,-0.00299133477765
0,artist738,-0.0214359165309
0,artist739,0.0695609173498
0,artist1068,0.00564657509318
0,artist1069,-0.0067601904156
0,artist1660,0.0987741458497
0,artist1661,-0.252758532411
0,artist1664,-0.168341499741
0,artist1665,0.0122633065633
0,artist1666,-0.0171019036568
0,artist1667,-0.0178462802134
0,artist1468,-0.069648281053
0,artist1469,0.00605402264416
0,artist1462,-0.00335134732217
0,artist1463,-0.0357428224513
0,artist1460,-0.0389913032971
0,artist1461,0.0179387126607
0,artist1466,0.0134454896978
0,artist1467,0.0337030575592
0,artist1464,-0.189992516198
0,artist1465,-0.0247859633704
0,artist119,-0.0383640640488
0,artist114,-0.0140124172997
0,artist115,0.0163132974932
0,artist116,-0.0289306246607
0,artist117,-0.119774842235
0,artist111,0.0118316123594
0,artist112,0.0809032522968
0,artist113,0.00391525197988
0,artist200,0.0392843417198
0,artist201,0.0415003942133
0,artist202,-0.0406428107668
0,artist204,-0.000868830699328
0,artist205,-0.0101947022082
0,artist206,-0.0279754101073
0,artist208,-0.195490337863
0,artist209,0.0789084854996
0,location239,0.462431618953
0,location237,-0.0160227130082
0,location236,0.0188585561708
0,location235,-0.181349336787
0,location234,-0.118127633262
0,location233,-0.0283346690843
0,location232,-0.0302803542586
0,location231,-0.00266157498023
0,location230,-0.201724919762
0,artist939,0.0139732635078
0,artist934,-0.0234216238859
0,artist935,-0.111667809524
0,artist930,0.0109251889535
0,artist931,-0.007381872244
0,location343,0.0224847352581
0,location342,-0.075244216567
0,location341,-0.0169475582759
0,location340,-0.01974456685
0,location346,0.0265105116712
0,location345,-0.00501273740398
0,location344,0.000141721995168
0,location349,-0.0320627665549
0,location348,-0.0325286278017
0,location167,-0.00719804919614
0,location166,-0.0124852033598
0,location165,0.375875655705
0,location163,0.135268509876
0,location162,0.0360437923086
0,location161,-0.276156911698
0,location160,0.00224145160877
0,location169,-0.447079460479
0,location168,-0.0290722409214
0,artist598,0.029576147532
0,artist599,0.108297154
0,artist1329,-0.0199388172857
0,artist1328,-0.0147642729857
0,artist590,-0.0760508871216
0,artist591,0.0311879967073
0,artist592,0.124749969511
0,artist1326,0.0121432785335
0,artist594,0.0345579875744
0,artist1320,-0.0107069986734
0,artist596,0.0157588378857
0,artist597,0.0327865760676
0,artist846,0.00242543720027
0,artist847,-0.11648475922
0,artist844,-0.0115764319351
0,artist845,-0.000585797008896
0,artist843,0.0477782788671
0,artist848,-0.059413005095
0,artist1493,-0.0140576714237
0,artist1492,0.0552625006712
0,artist1491,-0.230929527607
0,artist1490,-0.0321715762107
0,artist1312,-0.0215926693807
0,artist1499,-0.00163389924823
0,artist1498,-0.13352802635
0,artist705,0.0335680411831
0,artist1253,0.0096165128015
0,artist1255,0.012243250807
0,artist1254,0.0201350231433
0,artist1257,0.0183773681468
0,artist1030,0.0195331325726
0,artist1259,0.0182477733266
0,artist1258,0.0393200395882
0,artist1745,-0.00146478601741
0,artist448,-0.0433898785093
0,artist1032,-0.00546268961585
0,artist442,-0.0283032151331
0,artist1035,-0.0457359424866
0,artist440,0.0633299057208
0,artist441,-0.0613303892176
0,artist446,0.0376816621793
0,artist447,-0.0830841855696
0,artist444,0.040896102362
0,artist445,-0.0387674879932
0,artist1037,-0.00810911075161
0,artist1036,-0.0306117371851
0,artist1427,0.0237693841611
0,artist1424,0.0230470364454
0,artist1075,0.0146372966981
0,artist1074,-0.0807605398982
0,artist1077,0.00858924025451
0,artist1076,0.00188905748192
0,artist1070,-0.0260891174591
0,artist1073,0.0331379011768
0,artist1422,-0.00506739018431
0,artist1079,-0.00901066328272
0,artist1078,0.00223450945355
0,artist1420,0.0220054871131
0,artist1421,0.241408528895
0,artist1679,-0.027572635349
0,artist1678,-0.0731197502797
0,artist1677,-0.225844252442
0,artist1676,-0.0702760908856
0,artist1675,0.0261546826956
0,artist1673,-0.0511915978007
0,artist1672,0.0287148713352
0,artist1671,-0.0249128412966
0,artist1479,-0.0188544166105
0,artist1478,-0.00674170521786
0,artist699,-0.0188545792595
0,artist693,0.082416626936
0,artist692,0.0160632233179
0,artist691,-0.0623043379064
0,artist1472,-0.149546837997
0,artist697,0.240253624613
0,artist696,-0.0378725322793
0,artist694,-0.00688094638865
0,artist275,-0.0177714335783
0,artist274,-0.1274954605
0,artist277,-0.0261020992962
0,artist276,-0.0471397409342
0,artist270,-0.0283092683934
0,artist272,0.0860169057505
0,artist279,-0.0167718708422
0,artist278,-0.0168766533855
0,location228,0.0271735315482
0,location229,-0.00667559710319
0,location224,-0.0685965712552
0,location225,-0.167831370623
0,location226,0.0207029381166
0,location227,-0.0238375674279
0,location220,0.0064105062459
0,location221,-0.0513142509967
0,location222,-0.283484346015
0,location223,0.0323939308224
0,artist301,-0.0542297597964
0,artist303,-0.134901821424
0,artist305,-0.0805636140853
0,artist307,0.126930202723
0,artist306,-0.150566320124
0,artist903,-0.0144084521208
0,artist902,-0.0552519225924
0,artist907,0.00166944817043
0,artist906,-0.0359391036673
0,artist905,-0.0208561376676
0,artist904,-0.0169475582759
0,artist909,0.0105285508284
0,artist908,0.0488685214171
0,location15,-0.0289458673454
0,location350,0.0109251889535
0,location352,0.0139732635078
0,location353,0.0239249661831
0,location354,0.432502091678
0,location355,0.0778958702539
0,location356,0.013064159094
0,location357,-0.00763141428398
0,location358,-0.0914238518933
0,location359,0.0395277812164
0,artist1544,-0.0693794262446
0,artist1547,-0.0199378716563
0,artist1546,-0.00862901950312
0,artist1541,0.036364481715
0,artist1540,-0.0261432349031
0,location174,0.0106764884082
0,location175,0.00177923613893
0,location176,-0.363871203058
0,location177,-0.108732391248
0,location170,0.0257661335507
0,location171,-0.016133069509
0,location172,0.101271037721
0,artist1542,-0.0261721578019
0,location178,-0.0554166836971
0,location179,0.0198866668055
0,artist1310,0.00138200555858
0,artist879,0.016541719363
0,artist878,-0.0225096168477
0,artist1315,-0.0239616240215
0,artist1316,-0.0212624745658
0,artist1317,-0.0117394922557
0,artist873,0.228223367936
0,artist872,-0.0193620140887
0,artist871,0.0362705787484
0,artist870,0.0930613427962
0,artist877,0.0113330677498
0,artist876,0.0608949678225
0,artist874,0.0458116089096
0,artist1264,0.00275636879589
0,artist1265,-0.00184521968359
0,artist1266,-0.0253382553445
0,artist1267,0.00833848458745
0,artist1260,0.00648962089139
0,artist1262,0.0463559236682
0,artist1269,-0.0260698585611
0,artist479,0.0669750655105
0,artist478,-0.0266020071168
0,artist477,0.0111183571127
0,artist475,-0.0147156400294
0,artist472,-0.0101503199074
0,artist471,-0.198468588043
0,artist1048,0.0758090690506
0,artist1041,0.0136499410061
0,artist1044,-0.0741553807364
0,artist1045,0.0295989687131
0,artist1046,-0.0473340278828
0,artist1047,0.018226426617
0,artist1446,0.00666421545366
0,artist1683,-0.0132540469428
0,artist1680,-0.0926168232476
0,artist1681,-0.176157379393
0,artist1686,-0.129635513342
0,artist1685,0.0446613323842
0,artist1688,0.0256655407156
0,artist1689,-0.0022362968218
0,artist688,0.00406904429672
0,artist684,-0.24126053414
